Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist,Avg,Stdev,Avg Dist
"3,013.25850746",102.573424019,30.1325850746,"2,551.2839801","1,229.15364523",25.512839801,"2,200.1948","1,513.44859683",22.1125105528,"2,262.3928",136.850330591,22.7376160804
"2,719.28756219",150.012044274,27.1928756219,"2,580.31920398",940.49408079,25.8031920398,"2,179.5414","1,497.5089462",21.9049386935,"2,232.799",66.2279725947,22.4401909548
"2,871.08497512",50.2761936342,28.7108497512,"2,494.78248756","1,048.83167044",24.9478248756,"2,192.3304","1,440.00964339",22.0334713568,"2,244.512",81.7515639728,22.5579095477
"2,810.30606965",60.8516611396,28.1030606965,"2,399.0041791","1,341.5735722",23.990041791,"2,209.3756","1,489.31355387",22.2047798995,"2,262.3232",146.123028229,22.7369165829
End Test of d = 5,,,,,,,,,,,
"2,892.87263682",29.8945992054,28.9287263682,"2,473.55754561","1,207.92649583",24.7355754561,"2,165.34783333","1,365.67646095",21.7622897822,"2,212.4075",125.663741539,22.2352512563
"2,230.71077944",168.556144037,22.3071077944,"2,629.60895522",721.06843762,26.2960895522,"2,211.5655","1,391.13792977",22.2267889447,"2,260.3965",160.022597751,22.7175527638
"1,874.78872305",174.098231833,18.7478872305,"2,360.6305141",771.101061413,23.606305141,"2,190.44216667","1,364.17109774",22.0144941374,"2,235.6795",87.0909710973,22.4691407035
"1,927.53067993",240.203009956,19.2753067993,"2,598.28623549","1,174.36854892",25.9828623549,"2,197.68766667","1,407.46137337",22.0873132328,"2,245.67566667",92.8891226992,22.5696046901
"2,020.68092869",158.054775561,20.2068092869,"2,259.7681592","1,028.40704605",22.597681592,"2,213.977","1,311.06147747",22.2510251256,"2,252.58133333",94.1449582101,22.6390083752
"3,022.69286899",57.1149283275,30.2269286899,"2,447.87263682","1,308.98391154",24.4787263682,"2,218.04916667","1,325.02382557",22.2919514238,"2,258.50183333",120.372390819,22.6985108878
"1,802.57943615",62.6316179533,18.0257943615,"2,353.75854063",854.478965095,23.5375854063,"2,166.69016667","1,410.9284828",21.7757805695,"2,210.0115",77.3635003068,22.2111708543
"2,822.08358209",112.16651243,28.2208358209,"2,261.24046434",890.045126665,22.6124046434,"2,188.84266667","1,400.89900892",21.9984187605,"2,238.41366667",83.0571068151,22.4966197655
"2,846.0344942",93.6410477718,28.460344942,"2,750.13034826",807.434772444,27.5013034826,"2,209.32666667","1,383.83701495",22.2042881072,"2,254.042",152.430370113,22.6536884422
"1,988.86334992",182.693669986,19.8886334992,"2,272.17711443","1,268.36080844",22.7217711443,"2,238.61033333","1,396.69181219",22.4985963149,"2,283.55133333",86.2501231207,22.9502646566
"2,092.52537313",133.928580821,20.9252537313,"2,392.55024876","1,186.38532364",23.9255024876,"2,219.51883333","1,341.87738046",22.306721943,"2,263.4845",99.7640169391,22.7485879397
"2,128.8358209",88.5229279409,21.288358209,"2,306.91542289",926.912642679,23.0691542289,"2,199.73566667","1,391.7011374",22.1078961474,"2,246.196",113.989049732,22.5748341709
"2,570.24842454",166.983470684,25.7024842454,"2,474.73134328",969.094865322,24.7473134328,"2,186.61583333","1,430.10892666",21.976038526,"2,240.7845",53.9715365133,22.5204472362
"2,364.99568823",106.019980202,23.6499568823,"2,624.04145937",539.587269186,26.2404145937,"2,197.13416667","1,415.17545745",22.0817504188,"2,244.73916667",98.0277171901,22.5601926298
"1,913.53897181",248.431754274,19.1353897181,"2,321.71973466",686.542506519,23.2171973466,"2,170.236","1,362.79016803",21.8114170854,"2,215.281",45.0578073362,22.2641306533
"2,862.38076285",61.893646845,28.6238076285,"2,585.55290216",576.146061896,25.8555290216,"2,180.767","1,371.85774061",21.9172562814,"2,228.11",56.4425329182,22.3930653266
"2,188.78441128",90.0271353793,21.8878441128,"2,467.94925373","1,057.27973549",24.6794925373,"2,189.3215","1,382.31165801",22.0032311558,"2,235.59283333",89.8959446202,22.4682696817
"2,621.69585406",74.9434046196,26.2169585406,"2,397.21658375",591.050698101,23.9721658375,"2,156.20116667","1,377.65519343",21.6703634841,"2,205.8895",43.4627378337,22.1697437186
"1,770.08922056",102.004353091,17.7008922056,"2,330.50514096",819.050229338,23.3050514096,"2,163.57533333","1,356.31071256",21.7444757119,"2,206.72433333",92.2688275834,22.1781340034
"1,960.44809287",199.360980314,19.6044809287,"2,346.62487562",792.495058018,23.4662487562,"2,195.143","1,366.36266374",22.0617386935,"2,242.39466667",76.2114662068,22.5366298157
"2,295.11900498",127.558538562,22.9511900498,"2,432.741874",908.83597821,24.32741874,"2,192.939","1,377.6519761",22.0395917923,"2,239.02286667",92.4188259672,22.5027423786
End Test of d = 6,,,,,,,,,,,
"2,417.60142146",64.1110410998,24.1760142146,"2,214.24335466",162.30348711,22.1424335466,"2,188.01742857","1,258.04637479",21.9901249103,"2,229.31342857",71.0240727759,22.4051600861
"1,736.78180526",76.2806703674,17.3678180526,"2,247.61677328",650.766646757,22.4761677328,"2,210.255","1,260.6586279",22.2136180905,"2,246.09928571",99.3095633073,22.573862168
"2,914.9623312",52.1277086577,29.149623312,"2,373.38450604",806.703908247,23.7338450604,"2,165.23742857","1,244.51137939",21.7611801866,"2,201.37457143",128.070165027,22.124367552
"2,146.51769723",74.5799100498,21.4651769723,"2,312.10234542","1,002.42767552",23.1210234542,"2,210.02857143","1,251.28856701",22.2113424264,"2,246.67742857",56.102392366,22.579672649
"2,531.73589197",79.0027272303,25.3173589197,"2,350.22459133",980.271843868,23.5022459133,"2,227.28342857","1,259.9713704",22.3847580761,"2,266.52914286",40.4546414355,22.7791873654
"2,560.72352523",115.932712011,25.6072352523,"2,488.07050462",663.74437811,24.8807050462,"2,202.36357143","1,268.63445542",22.1343072505,"2,240.153",108.449445626,22.5141005025
"2,643.74186212",161.564743316,26.4374186212,"2,390.50092395","1,048.50960111",23.9050092395,"2,226.94671429","1,298.84350892",22.3813740129,"2,266.765",57.2367935752,22.7815577889
"2,239.75465529",167.452910076,22.3975465529,"2,462.13901919","1,049.58031987",24.6213901919,"2,232.25571429","1,247.48510843",22.4347307968,"2,271.41771429",69.7178678266,22.8283187365
"2,089.9206823",172.615673649,20.899206823,"2,540.03411514","1,228.89543301",25.4003411514,"2,210.284","1,277.63968352",22.2139095477,"2,250.64028571",126.42242401,22.6195003589
"2,093.55309168",68.3464596762,20.9355309168,"2,631.24690832","1,142.84866434",26.3124690832,"2,203.75685714","1,259.94794872",22.148310122,"2,242.92657143",84.7915920601,22.5419755922
"2,181.00326937",117.532242404,21.8100326937,"2,467.06979389",482.737387537,24.6706979389,"2,201.37985714","1,291.30829741",22.1244206748,"2,240.01728571",94.0361513766,22.5127365398
"2,260.78663824",119.825137152,22.6078663824,"2,338.1307747",733.200826651,23.381307747,"2,213.69257143","1,290.2860453",22.248166547,"2,251.194",82.2861517449,22.6250653266
"2,550.45316276",157.324285815,25.5045316276,"2,397.42430704",804.446331421,23.9742430704,"2,187.20742857","1,274.41785715",21.9819842067,"2,223.94828571",48.9252175451,22.3512390524
"2,515.46695096",27.9075395627,25.1546695096,"2,461.34186212",748.151675082,24.6134186212,"2,207.912","1,250.79861367",22.1900703518,"2,244.26457143",78.3878279064,22.5554228284
"2,249.24406539",96.4635223994,22.4924406539,"2,501.24975124","1,139.33616981",25.0124975124,"2,188.92528571","1,268.19224642",21.9992491027,"2,228.53328571",83.8149433586,22.3973194544
"2,038.07277896",92.2771796306,20.3807277896,"2,499.25259417","1,224.26499127",24.9925259417,"2,196.90214286","1,292.9894595",22.0794185212,"2,238.21728571",94.4405261203,22.4946460876
"2,009.92295665",29.0177909595,20.0992295665,"2,409.08884151",774.985914883,24.0908884151,"2,211.34842857","1,278.04321367",22.2246073223,"2,248.77671429",210.900163281,22.6007709978
"2,833.43738451",133.512037904,28.3343738451,"2,341.1206823",834.193899818,23.411206823,"2,196.98085714","1,261.59448674",22.0802096195,"2,231.506",72.981254223,22.4271959799
"2,587.7384506",116.697396631,25.877384506,"2,347.53745558",532.914072016,23.4753745558,"2,186.26842857","1,246.34984657",21.9725470208,"2,222.25414286",91.3517544116,22.334212491
"2,120.38663824",77.8022694184,21.2038663824,"2,493.65458422",657.048563846,24.9365458422,"2,173.52785714","1,260.50527378",21.8445010768,"2,211.83271429",91.7560808217,22.2294745154
"2,336.09026297",100.0186979005,23.3609026297,"2,413.27168444",833.366589514,24.1327168444,"2,202.02867857","1,267.0756182",22.1309414932,"2,240.12203571",89.5229514399,22.5137893036
End Test of d = 7,,,,,,,,,,,
"1,930.13830846",64.8062402361,19.3013830846,"2,460.55447761",890.180515908,24.6055447761,"2,216.6945","1,178.48980301",22.2783366834,"2,249.65375",114.263023075,22.6095854271
"2,090.10223881",67.3600775269,20.9010223881,"2,373.41393035","1,035.52980307",23.7341393035,"2,224.4865","1,235.45164197",22.3566482412,"2,258.435",83.4435802747,22.697839196
"1,784.80671642",118.085480596,17.8480671642,"2,272.88756219","1,189.21289565",22.7288756219,"2,193.289125","1,193.65620158",22.0431067839,"2,227.635375",50.2047616377,22.3882952261
"2,357.69154229",71.9175294525,23.5769154229,"2,287.92736318",675.413025204,22.8792736318,"2,183.506","1,208.85201365",21.9447839196,"2,217.78925",57.1958820524,22.289339196
"2,032.21243781",38.1486912601,20.3221243781,"2,204.27960199",735.93426156,22.0427960199,"2,211.923","1,136.04701356",22.2303819095,"2,240.28775",82.2979876092,22.5154547739
"2,705.05323383",67.3768554061,27.0505323383,"2,358.80845771",753.158729524,23.5880845771,"2,207.395","1,175.04436492",22.1848743719,"2,237.972",45.3407137802,22.4921809045
"2,109.45273632",203.224946713,21.0945273632,"2,128.30447761","1,035.0145978",21.2830447761,"2,216.36825","1,119.41834412",22.2750577889,"2,244.7215",104.961554177,22.5600150754
"2,123.53830846",60.928234175,21.2353830846,"2,363.86741294",700.541452114,23.6386741294,"2,237.798375","1,161.73129168",22.4904359296,"2,268.789625",81.4497334422,22.8019057789
"2,134.57711443",67.1379825685,21.3457711443,"2,599.6699005","1,130.29825105",25.996699005,"2,247.056875","1,213.8015598",22.5834861809,"2,279.732875",69.3268843032,22.911888191
"2,157.29129353",56.7122724602,21.5729129353,"2,419.62014925",793.973723687,24.1962014925,"2,241.777","1,187.63605233",22.5304221106,"2,274.1385",86.2247820679,22.8556633166
"2,214.03432836",119.705220483,22.1403432836,"2,306.59875622",565.137322443,23.0659875622,"2,237.961125","1,176.39259149",22.492071608,"2,266.644375",30.7182587448,22.7803454774
"1,958.11144279",79.952398344,19.5811144279,"2,351.01691542",626.446730835,23.5101691542,"2,208.008625","1,182.93918951",22.1910414573,"2,237.807625",83.3511955917,22.4905288945
"2,150.9181592",79.3376084407,21.509181592,"2,365.01144279",713.45826562,23.6501144279,"2,203.43475","1,178.28057075",22.1450728643,"2,233.211",48.4119590129,22.4443316583
"2,805.26243781",139.20472461,28.0526243781,"2,284.2659204","1,100.01001927",22.842659204,"2,206.496","1,183.13320267",22.175839196,"2,239.48",73.234447405,22.5073366834
"2,787.54552239",39.1569251207,27.8754552239,"2,279.76442786",642.058808584,22.7976442786,"2,249.209625","1,188.77157174",22.6051218593,"2,281.095375",56.8466320916,22.9255816583
"2,232.49452736",68.8390012376,22.3249452736,"2,428.89029851",425.009352841,24.2889029851,"2,231.033875","1,181.2715816",22.422451005,"2,263.750375",98.443928598,22.7512600503
"2,198.82288557",76.4159951264,21.9882288557,"2,396.20074627",695.535850004,23.9620074627,"2,206.135","1,163.5825178",22.1722110553,"2,238.906",143.968186171,22.5015678392
"2,494.64452736",68.572412785,24.9464452736,"2,325.05870647",777.240972116,23.2505870647,"2,230.50325","1,174.79460618",22.4171180905,"2,262.00625",93.6556996188,22.7337311558
"2,565.11343284",113.267264978,25.6511343284,"2,313.43283582","1,101.11921122",23.1343283582,"2,209.038375","1,174.75778177",22.2013907035,"2,240.653875",52.7797089873,22.5191344221
"1,836.82985075",55.2567394567,18.3682985075,"2,238.85273632",426.352231544,22.3885273632,"2,177.689125","1,184.31169367",21.8863228643,"2,210.280375",47.3852013308,22.2138731156
"2,233.43205224",82.7703300488,22.3343205224,"2,337.92130597",800.581301,23.3792130597,"2,216.99","1,179.91817969",22.2813087312,"2,248.64954",75.1752059986,22.599492902
End Test of d = 8,,,,,,,,,,,
"2,794.17070205",76.8997107258,27.9417070205,"2,418.19347706",192.923319516,24.1819347706,"2,222.94988889","1,105.4797721",22.3412049135,"2,250.371",102.443038432,22.6167939698
"2,062.94173577",70.365089556,20.6294173577,"2,217.19977888",486.390074403,22.1719977888,"2,202.55088889","1,119.58357232",22.1361898381,"2,228.15311111",63.7476223744,22.3934986041
"2,367.81470426",80.4715155645,23.6781470426,"2,224.99900498",659.352413993,22.2499900498,"2,204.39533333","1,089.41878972",22.1547269682,"2,228.56066667",81.9903537062,22.3975946399
"2,078.54549475",114.318387657,20.7854549475,"2,405.01315644",376.149831819,24.0501315644,"2,221.68066667","1,142.78691461",22.3284489112,"2,254.06755556",115.601359596,22.653945282
"2,684.62531786",65.8989465598,26.8462531786,"2,503.03858485","1,130.90010247",25.0303858485,"2,210.61888889","1,150.19061723",22.2172752652,"2,241.10288889",61.4452342696,22.5236471245
"2,242.74737424",132.813936395,22.4274737424,"2,450.17512438",697.17370055,24.5017512438,"2,201.56755556","1,116.40563915",22.126307091,"2,226.73177778",74.143685072,22.379213847
"2,309.90116086",105.775264031,23.0990116086,"2,350.27330017",622.425561327,23.5027330017,"2,229.90988889","1,127.96187099",22.4111546622,"2,259.163",57.5696946736,22.7051557789
