Avg,Stdev,A Dist,Avg,Stdev,A Dist,Avg,Stdev,A Dist,Avg,Stdev,A Dist
End Test of p = 250,,,,,,,,,,,
"6,222.57551564",89.9291159174,24.8903020625,"6,051.0239521",447.406172881,24.2040958084,"5,428.765","2,616.40304203",21.7585771543,"5,617.219",166.171507792,22.5139038076
"5,957.16433799",29.4848943383,23.828657352,"5,839.16566866",48.145362315,23.3566626747,"5,383.51633333","2,540.07227921",21.5772197729,"5,580.47566667",94.4397674817,22.3666359385
"6,353.61343979",94.8896840483,25.4144537591,"6,131.66467066",422.239193405,24.5266586826,"5,491.96066667","2,583.65315575",22.0118663995,"5,689.298",18.7072170031,22.8027975952
"7,078.03393214",54.0854356479,28.3121357285,"5,168.57085828","2,682.88638928",20.6742834331,"5,386.45066667","2,543.60357048",21.5889806279,"5,574.798",19.862158079,22.3438797595
"7,046.60878244",20.9723260757,28.1864351297,"5,676.56686627","1,886.14123868",22.7062674651,"5,515.59","2,516.9852428",22.1065731463,"5,698.568",89.7676772762,22.8399519038
"6,151.43646041",34.2657453765,24.6057458417,"6,056.31736527",292.975557354,24.2252694611,"5,462.45166667","2,504.49915126",21.8935938544,"5,646.46566667",77.0279701018,22.6311249165
"5,721.78110446",168.212376039,22.8871244178,"5,089.16300732","1,252.24988378",20.3566520293,"5,330.43033333","2,454.18331833",21.3644502338,"5,505.651",110.913469865,22.0667374749
"6,333.67398536",202.916593484,25.3346959415,"5,172.75249501","2,067.38357441",20.69100998,"5,403.067","2,556.30367967",21.6555791583,"5,598.579",148.4768677,22.4391943888
"6,479.86959415",12.4014203274,25.9194783766,"6,408.20292748",326.877163909,25.6328117099,"5,468.605","2,573.14413477",21.918256513,"5,667.09366667",25.8089261088,22.7138022712
"6,953.20958084",12.7138081535,27.8128383234,"7,105.74850299",392.810754698,28.422994012,"5,442.41666667","2,592.64943963",21.8132932532,"5,643.19466667",35.1960043313,22.6180146961
"6,250.10179641",14.2014140365,25.0004071856,"6,169.32734531",134.348406571,24.6773093812,"5,462.88533333","2,506.02697331",21.8953319973,"5,644.51266667",136.505549895,22.6232972612
"7,419.49434464",78.603175365,29.6779773786,"5,715.63273453","2,099.49083282",22.8625309381,"5,343.93533333","2,513.3346862",21.4185784903,"5,527.42666667",278.232376261,22.1540146961
"5,738.37990685",223.85880989,22.9535196274,"5,140.49301397","1,224.33539692",20.5619720559,"5,369.56","2,515.87367094",21.5212825651,"5,552.09266667",32.8559522901,22.2528764195
"6,445.25083167",224.145792682,25.7810033267,"5,392.57884232","2,263.93855918",21.5703153693,"5,277.51966667","2,646.2127783",21.1523834335,"5,474.105",38.0409306143,21.9403006012
"6,441.1756487",82.6388120709,25.7647025948,"5,669.6340652",689.056034027,22.6785362608,"5,476.96066667","2,497.56526217",21.951746159,"5,665.79933333",15.3970144581,22.7086145625
"6,527.25282768",161.719978447,26.1090113107,"5,512.56620093","1,852.83900274",22.0502648037,"5,296.89966667","2,490.79730746",21.2300587842,"5,482.991",59.3229591099,21.9759158317
"6,590.71590153",42.3737149487,26.3628636061,"5,570.87757818","1,792.3787854",22.2835103127,"5,418.36866667","2,576.02205937",21.7169084836,"5,610.77466667",94.2611051683,22.4880748163
"6,546.99201597",27.0431882875,26.1879680639,"5,835.76180971",981.690034812,23.3430472389,"5,369.86666667","2,454.33463918",21.52251169,"5,542.17266667",78.0221622361,22.2131169005
"5,849.08715902",21.8558567045,23.3963486361,"4,510.26679973","2,107.15844846",18.0410671989,"5,338.476","2,524.0968514",21.3966973948,"5,539.32466667",75.7188797475,22.2017020708
"5,933.93612774",236.701525068,23.735744511,"4,902.6580173","1,539.47825788",19.6106320692,"5,283.24666667","2,495.49862475",21.1753373413,"5,475.758",68.8976563317,21.9469258517
"6,402.01766467",91.6506833454,25.6080706587,"5,655.94863606","1,225.19145248",22.6237945442,"5,397.55","2,535.0629934",21.6334613226,"5,586.815",83.1813075925,22.3920440882
End Test of p = 500,,,,,,,,,,,
